Inclusion Rate (%),Negation Rate (%),Search Method,Search Type,Inclusion Query,Negation Query
0.0,91.0,Vector-Arithmetics MAG 0,Small Object Search,,bicycle
0.0,95.0,Vector-Arithmetics MAG 0,Small Object Search,,construction worker
0.0,97.0,Vector-Arithmetics MAG 0,Small Object Search,,construction
0.0,96.0,Vector-Arithmetics MAG 0,Small Object Search,,trailer
0.0,97.0,Vector-Arithmetics MAG 0,Small Object Search,,bicycle rack
0.0,99.0,Vector-Arithmetics MAG 0,Small Object Search,,police officer
0.0,100.0,Vector-Arithmetics MAG 0,Small Object Search,,child
0.0,99.0,Vector-Arithmetics MAG 0,Small Object Search,,stroller
0.0,100.0,Vector-Arithmetics MAG 0,Small Object Search,,animal
0.0,100.0,Vector-Arithmetics MAG 0,Small Object Search,,police car
0.0,100.0,Vector-Arithmetics MAG 0,Small Object Search,,ambulance
39.0,83.0,Post Retrieval Filteration,Small Object Search,adult,trafficcone
4.0,93.0,Post Retrieval Filteration,Small Object Search,truck,car
16.0,96.0,Post Retrieval Filteration,Small Object Search,bicycle,motorcycle
1.0,99.0,Post Retrieval Filteration,Small Object Search,construction,construction worker
73.0,100.0,Post Retrieval Filteration,Small Object Search,bicycle rack,trailer
0.0,100.0,Post Retrieval Filteration,Small Object Search,child,police officer
2.0,100.0,Post Retrieval Filteration,Small Object Search,animal,stroller
0.0,100.0,Post Retrieval Filteration,Small Object Search,ambulance,police car
88.0,50.0,Post Retrieval Filteration,Small Object Search,car,adult
67.0,89.0,Post Retrieval Filteration,Small Object Search,construction worker,truck
5.0,100.0,Post Retrieval Filteration,Small Object Search,police officer,bicycle
87.0,99.0,Post Retrieval Filteration,Small Object Search,trafficcone,child
5.0,99.0,Post Retrieval Filteration,Small Object Search,stroller,bicycle rack
86.0,100.0,Post Retrieval Filteration,Small Object Search,motorcycle,animal
0.0,100.0,Post Retrieval Filteration,Small Object Search,police car,construction
0.0,11.0,,Small Object Search,,trafficcone
0.0,48.0,Normal Search,Small Object Search,,adult
0.0,22.0,Normal Search,Small Object Search,,car
0.0,28.999999999999996,Normal Search,Small Object Search,,truck
0.0,17.0,Normal Search,Small Object Search,,motorcycle
0.0,20.0,Normal Search,Small Object Search,,bicycle
0.0,21.0,Normal Search,Small Object Search,,construction worker
0.0,84.0,Normal Search,Small Object Search,,construction
0.0,31.0,Normal Search,Small Object Search,,trailer
0.0,61.0,Normal Search,Small Object Search,,bicycle rack
0.0,100.0,Normal Search,Small Object Search,,police office
0.0,95.0,Normal Search,Small Object Search,,child
0.0,59.0,Normal Search,Small Object Search,,stroller
0.0,100.0,Normal Search,Small Object Search,,animal
0.0,65.0,Normal Search,Small Object Search,,police car
0.0,99.0,Normal Search,Small Object Search,,ambulance
62.0,90.0,Vector-Arithmetics MAG 1.0,Small Object Search,adult,trafficcone
78.0,55.00000000000001,Vector-Arithmetics MAG 1.0,Small Object Search,truck,car
84.0,94.0,Vector-Arithmetics MAG 1.0,Small Object Search,bicycle,motorcycle
3.0,100.0,Vector-Arithmetics MAG 1.0,Small Object Search,construction,construction worker
81.0,98.0,Vector-Arithmetics MAG 1.0,Small Object Search,bicycle rack,trailer
0.0,100.0,Vector-Arithmetics MAG 1.0,Small Object Search,child,police officer
1.0,100.0,Vector-Arithmetics MAG 1.0,Small Object Search,animal,stroller
7.000000000000001,100.0,Vector-Arithmetics MAG 1.0,Small Object Search,ambulance,police car
83.0,64.0,Vector-Arithmetics MAG 1.0,Small Object Search,car,adult
88.0,82.0,Vector-Arithmetics MAG 1.0,Small Object Search,construction worker,truck
23.0,94.0,Vector-Arithmetics MAG 1.0,Small Object Search,police officer,bicycle
94.0,99.0,Vector-Arithmetics MAG 1.0,Small Object Search,trafficcone,child
66.0,93.0,Vector-Arithmetics MAG 1.0,Small Object Search,stroller,bicycle rack
81.0,100.0,Vector-Arithmetics MAG 1.0,Small Object Search,motorcycle,animal
62.0,97.0,Vector-Arithmetics MAG 1.0,Small Object Search,police car,construction
0.0,89.0,Post Retrieval Filteration,Small Object Search,,trafficcone
0.0,61.0,Post Retrieval Filteration,Small Object Search,,adult
0.0,84.0,Post Retrieval Filteration,Small Object Search,,car
0.0,92.0,Post Retrieval Filteration,Small Object Search,,truck
0.0,97.0,Post Retrieval Filteration,Small Object Search,,motorcycle
0.0,98.0,Post Retrieval Filteration,Small Object Search,,bicycle
0.0,99.0,Post Retrieval Filteration,Small Object Search,,construction worker
0.0,100.0,Post Retrieval Filteration,Small Object Search,,construction
0.0,99.0,Post Retrieval Filteration,Small Object Search,,trailer
0.0,100.0,Post Retrieval Filteration,Small Object Search,,bicycle rack
0.0,99.0,Post Retrieval Filteration,Small Object Search,,police officer
0.0,99.0,Post Retrieval Filteration,Small Object Search,,child
0.0,100.0,Post Retrieval Filteration,Small Object Search,,stroller
0.0,99.0,Post Retrieval Filteration,Small Object Search,,animal
0.0,100.0,Post Retrieval Filteration,Small Object Search,,police car
0.0,100.0,Post Retrieval Filteration,Small Object Search,,ambulance
